Date,Ticker,Close
2023-01-03,0P00000ODE.IR,1188.834716796875
2023-01-04,0P00000ODE.IR,1188.834716796875
2023-01-05,0P00000ODE.IR,1176.4154052734375
2023-01-06,0P00000ODE.IR,1187.73974609375
2023-01-09,0P00000ODE.IR,1204.1407470703125
2023-01-10,0P00000ODE.IR,1200.4901123046875
2023-01-11,0P00000ODE.IR,1201.2154541015625
2023-01-12,0P00000ODE.IR,1198.2069091796875
2023-01-13,0P00000ODE.IR,1198.2069091796875
2023-01-16,0P00000ODE.IR,1218.0831298828125
2023-01-17,0P00000ODE.IR,1225.9686279296875
2023-01-18,0P00000ODE.IR,1231.026123046875
2023-01-19,0P00000ODE.IR,1224.0799560546875
2023-01-20,0P00000ODE.IR,1224.0799560546875
2023-01-23,0P00000ODE.IR,1224.0799560546875
2023-01-24,0P00000ODE.IR,1233.348388671875
2023-01-25,0P00000ODE.IR,1213.9154052734375
2023-01-26,0P00000ODE.IR,1223.8536376953125
2023-01-27,0P00000ODE.IR,1233.1156005859375
2023-01-30,0P00000ODE.IR,1238.675048828125
2023-01-31,0P00000ODE.IR,1241.4794921875
2023-02-01,0P00000ODE.IR,1262.8787841796875
2023-02-02,0P00000ODE.IR,1257.570068359375
2023-02-03,0P00000ODE.IR,1269.0301513671875
2023-02-06,0P00000ODE.IR,1259.39794921875
2023-02-07,0P00000ODE.IR,1262.1446533203125
2023-02-08,0P00000ODE.IR,1278.79541015625
2023-02-09,0P00000ODE.IR,1284.3314208984375
2023-02-10,0P00000ODE.IR,1284.1864013671875
2023-02-13,0P00000ODE.IR,1283.1778564453125
2023-02-14,0P00000ODE.IR,1293.784423828125
2023-02-15,0P00000ODE.IR,1301.560302734375
2023-02-16,0P00000ODE.IR,1308.873779296875
2023-02-17,0P00000ODE.IR,1305.187255859375
2023-02-20,0P00000ODE.IR,1308.4010009765625
2023-02-21,0P00000ODE.IR,1299.89697265625
2023-02-22,0P00000ODE.IR,1276.28759765625
2023-02-23,0P00000ODE.IR,1287.2493896484375
2023-02-24,0P00000ODE.IR,1283.4527587890625
2023-02-27,0P00000ODE.IR,1301.9697265625
2023-02-28,0P00000ODE.IR,1307.0452880859375
2023-03-01,0P00000ODE.IR,1316.2255859375
2023-03-02,0P00000ODE.IR,1324.2880859375
2023-03-03,0P00000ODE.IR,1335.4091796875
2023-03-06,0P00000ODE.IR,1339.8839111328125
2023-03-07,0P00000ODE.IR,1332.5400390625
2023-03-08,0P00000ODE.IR,1339.328857421875
2023-03-09,0P00000ODE.IR,1335.5179443359375
2023-03-10,0P00000ODE.IR,1317.1956787109375
2023-03-13,0P00000ODE.IR,1266.842041015625
2023-03-14,0P00000ODE.IR,1302.3209228515625
2023-03-15,0P00000ODE.IR,1247.7496337890625
2023-03-16,0P00000ODE.IR,1256.6021728515625
2023-03-17,0P00000ODE.IR,1255.36181640625
2023-03-20,0P00000ODE.IR,1251.827392578125
2023-03-21,0P00000ODE.IR,1269.399658203125
2023-03-22,0P00000ODE.IR,1269.3787841796875
2023-03-23,0P00000ODE.IR,1284.732666015625
2023-03-24,0P00000ODE.IR,1237.072021484375
2023-03-27,0P00000ODE.IR,1248.257080078125
2023-03-28,0P00000ODE.IR,1252.704833984375
2023-03-29,0P00000ODE.IR,1261.5391845703125
2023-03-30,0P00000ODE.IR,1261.5391845703125
2023-03-31,0P00000ODE.IR,1297.3038330078125
2023-04-03,0P00000ODE.IR,1295.6153564453125
2023-04-04,0P00000ODE.IR,1291.8702392578125
2023-04-05,0P00000ODE.IR,1289.9422607421875
2023-04-06,0P00000ODE.IR,1289.9422607421875
2023-04-11,0P00000ODE.IR,1293.3260498046875
2023-04-12,0P00000ODE.IR,1290.5543212890625
2023-04-13,0P00000ODE.IR,1299.439697265625
2023-04-14,0P00000ODE.IR,1293.3818359375
2023-04-17,0P00000ODE.IR,1294.86376953125
2023-04-18,0P00000ODE.IR,1298.57568359375
2023-04-19,0P00000ODE.IR,1285.212158203125
2023-04-20,0P00000ODE.IR,1281.5902099609375
2023-04-21,0P00000ODE.IR,1279.187744140625
2023-04-24,0P00000ODE.IR,1286.2647705078125
2023-04-25,0P00000ODE.IR,1275.3037109375
2023-04-26,0P00000ODE.IR,1273.4478759765625
2023-04-27,0P00000ODE.IR,1267.9573974609375
2023-04-28,0P00000ODE.IR,1290.530029296875
2023-05-02,0P00000ODE.IR,1268.1400146484375
2023-05-03,0P00000ODE.IR,1249.6158447265625
2023-05-04,0P00000ODE.IR,1228.504150390625
2023-05-05,0P00000ODE.IR,1253.5872802734375
2023-05-08,0P00000ODE.IR,1254.830078125
2023-05-09,0P00000ODE.IR,1245.7647705078125
2023-05-10,0P00000ODE.IR,1249.9361572265625
2023-05-11,0P00000ODE.IR,1256.2977294921875
2023-05-12,0P00000ODE.IR,1258.5711669921875
2023-05-15,0P00000ODE.IR,1256.1236572265625
2023-05-16,0P00000ODE.IR,1263.5821533203125
2023-05-17,0P00000ODE.IR,1263.5821533203125
2023-05-19,0P00000ODE.IR,1284.119873046875
2023-05-22,0P00000ODE.IR,1287.52587890625
2023-05-23,0P00000ODE.IR,1304.6185302734375
2023-05-24,0P00000ODE.IR,1293.306396484375
2023-05-25,0P00000ODE.IR,1287.195068359375
2023-05-26,0P00000ODE.IR,1295.7313232421875
2023-05-30,0P00000ODE.IR,1297.96337890625
2023-05-31,0P00000ODE.IR,1283.4295654296875
2023-06-01,0P00000ODE.IR,1290.7760009765625
2023-06-02,0P00000ODE.IR,1307.343505859375
2023-06-05,0P00000ODE.IR,1299.01025390625
2023-06-06,0P00000ODE.IR,1295.241943359375
2023-06-07,0P00000ODE.IR,1300.76513671875
2023-06-08,0P00000ODE.IR,1293.8046875
2023-06-09,0P00000ODE.IR,1297.6265869140625
2023-06-12,0P00000ODE.IR,1291.224365234375
2023-06-13,0P00000ODE.IR,1295.501953125
2023-06-14,0P00000ODE.IR,1288.1234130859375
2023-06-15,0P00000ODE.IR,1289.6456298828125
2023-06-16,0P00000ODE.IR,1290.2259521484375
2023-06-19,0P00000ODE.IR,1284.030517578125
2023-06-20,0P00000ODE.IR,1278.234130859375
2023-06-21,0P00000ODE.IR,1274.4560546875
2023-06-22,0P00000ODE.IR,1256.4676513671875
2023-06-23,0P00000ODE.IR,1235.0872802734375
2023-06-26,0P00000ODE.IR,1225.6566162109375
2023-06-27,0P00000ODE.IR,1219.0350341796875
2023-06-28,0P00000ODE.IR,1226.0604248046875
2023-06-29,0P00000ODE.IR,1244.1287841796875
2023-06-30,0P00000ODE.IR,1260.388916015625
2023-07-03,0P00000ODE.IR,1272.508056640625
2023-07-04,0P00000ODE.IR,1267.9820556640625
2023-07-05,0P00000ODE.IR,1258.0079345703125
2023-07-06,0P00000ODE.IR,1245.181396484375
2023-07-07,0P00000ODE.IR,1250.0780029296875
2023-07-10,0P00000ODE.IR,1257.6988525390625
2023-07-11,0P00000ODE.IR,1248.8892822265625
2023-07-12,0P00000ODE.IR,1267.468505859375
2023-07-13,0P00000ODE.IR,1260.7366943359375
2023-07-14,0P00000ODE.IR,1255.7510986328125
2023-07-17,0P00000ODE.IR,1236.5262451171875
2023-07-18,0P00000ODE.IR,1254.9012451171875
2023-07-19,0P00000ODE.IR,1262.0343017578125
2023-07-20,0P00000ODE.IR,1275.005126953125
2023-07-21,0P00000ODE.IR,1275.1048583984375
2023-07-24,0P00000ODE.IR,1286.9476318359375
2023-07-25,0P00000ODE.IR,1289.599609375
2023-07-26,0P00000ODE.IR,1295.4822998046875
2023-07-27,0P00000ODE.IR,1309.357421875
2023-07-28,0P00000ODE.IR,1300.981201171875
2023-07-31,0P00000ODE.IR,1321.927978515625
2023-08-01,0P00000ODE.IR,1325.67138671875
2023-08-02,0P00000ODE.IR,1313.2904052734375
2023-08-03,0P00000ODE.IR,1319.17724609375
2023-08-04,0P00000ODE.IR,1337.558349609375
2023-08-07,0P00000ODE.IR,1326.334716796875
2023-08-08,0P00000ODE.IR,1307.8001708984375
2023-08-09,0P00000ODE.IR,1320.4613037109375
2023-08-10,0P00000ODE.IR,1328.986572265625
2023-08-11,0P00000ODE.IR,1329.312255859375
2023-08-14,0P00000ODE.IR,1328.2772216796875
2023-08-15,0P00000ODE.IR,1326.0313720703125
2023-08-16,0P00000ODE.IR,1335.0809326171875
2023-08-17,0P00000ODE.IR,1325.4278564453125
2023-08-18,0P00000ODE.IR,1293.4532470703125
2023-08-21,0P00000ODE.IR,1289.3568115234375
2023-08-22,0P00000ODE.IR,1290.6090087890625
2023-08-23,0P00000ODE.IR,1280.388427734375
2023-08-24,0P00000ODE.IR,1260.9444580078125
2023-08-25,0P00000ODE.IR,1258.0789794921875
2023-08-28,0P00000ODE.IR,1267.886962890625
2023-08-29,0P00000ODE.IR,1269.3087158203125
2023-08-30,0P00000ODE.IR,1268.363037109375
2023-08-31,0P00000ODE.IR,1275.3006591796875
2023-09-01,0P00000ODE.IR,1284.418701171875
2023-09-04,0P00000ODE.IR,1284.57861328125
2023-09-05,0P00000ODE.IR,1278.90234375
2023-09-06,0P00000ODE.IR,1279.8707275390625
2023-09-07,0P00000ODE.IR,1270.7518310546875
2023-09-08,0P00000ODE.IR,1275.66796875
2023-09-11,0P00000ODE.IR,1276.2601318359375
2023-09-12,0P00000ODE.IR,1276.9530029296875
2023-09-13,0P00000ODE.IR,1268.448486328125
2023-09-14,0P00000ODE.IR,1282.97509765625
2023-09-15,0P00000ODE.IR,1290.0264892578125
2023-09-18,0P00000ODE.IR,1295.834228515625
2023-09-19,0P00000ODE.IR,1300.704345703125
2023-09-20,0P00000ODE.IR,1304.6180419921875
2023-09-21,0P00000ODE.IR,1294.2386474609375
2023-09-22,0P00000ODE.IR,1296.43212890625
2023-09-25,0P00000ODE.IR,1271.7396240234375
2023-09-26,0P00000ODE.IR,1268.3072509765625
2023-09-27,0P00000ODE.IR,1295.084228515625
2023-09-28,0P00000ODE.IR,1288.303955078125
2023-09-29,0P00000ODE.IR,1298.5526123046875
2023-10-02,0P00000ODE.IR,1292.67626953125
2023-10-03,0P00000ODE.IR,1270.7200927734375
2023-10-04,0P00000ODE.IR,1270.7200927734375
2023-10-05,0P00000ODE.IR,1252.1822509765625
2023-10-06,0P00000ODE.IR,1246.962158203125
2023-10-09,0P00000ODE.IR,1266.8255615234375
2023-10-10,0P00000ODE.IR,1277.408203125
2023-10-11,0P00000ODE.IR,1273.606689453125
2023-10-12,0P00000ODE.IR,1290.0272216796875
2023-10-13,0P00000ODE.IR,1296.755859375
2023-10-16,0P00000ODE.IR,1289.84814453125
2023-10-17,0P00000ODE.IR,1297.3553466796875
2023-10-18,0P00000ODE.IR,1299.9769287109375
2023-10-19,0P00000ODE.IR,1289.0235595703125
2023-10-20,0P00000ODE.IR,1274.8880615234375
2023-10-23,0P00000ODE.IR,1258.1749267578125
2023-10-24,0P00000ODE.IR,1276.4384765625
2023-10-25,0P00000ODE.IR,1253.3883056640625
2023-10-26,0P00000ODE.IR,1237.4931640625
2023-10-27,0P00000ODE.IR,1251.2227783203125
2023-10-30,0P00000ODE.IR,1254.21044921875
2023-10-31,0P00000ODE.IR,1262.4913330078125
2023-11-01,0P00000ODE.IR,1260.459716796875
2023-11-02,0P00000ODE.IR,1284.04052734375
2023-11-03,0P00000ODE.IR,1278.2952880859375
2023-11-06,0P00000ODE.IR,1277.770751953125
2023-11-07,0P00000ODE.IR,1266.4150390625
2023-11-08,0P00000ODE.IR,1260.6593017578125
2023-11-09,0P00000ODE.IR,1274.8590087890625
2023-11-10,0P00000ODE.IR,1271.395751953125
2023-11-13,0P00000ODE.IR,1271.67626953125
2023-11-14,0P00000ODE.IR,1279.604736328125
2023-11-15,0P00000ODE.IR,1291.5849609375
2023-11-16,0P00000ODE.IR,1275.32373046875
2023-11-17,0P00000ODE.IR,1290.8333740234375
2023-11-20,0P00000ODE.IR,1300.0107421875
2023-11-21,0P00000ODE.IR,1277.6434326171875
2023-11-22,0P00000ODE.IR,1273.921630859375
2023-11-23,0P00000ODE.IR,1289.759765625
2023-11-24,0P00000ODE.IR,1303.1312255859375
2023-11-27,0P00000ODE.IR,1291.5997314453125
2023-11-28,0P00000ODE.IR,1269.5274658203125
2023-11-29,0P00000ODE.IR,1273.7740478515625
2023-11-30,0P00000ODE.IR,1278.9918212890625
2023-12-01,0P00000ODE.IR,1285.24267578125
2023-12-04,0P00000ODE.IR,1274.462890625
2023-12-05,0P00000ODE.IR,1273.7471923828125
2023-12-06,0P00000ODE.IR,1274.681884765625
2023-12-07,0P00000ODE.IR,1259.3731689453125
2023-12-08,0P00000ODE.IR,1280.99365234375
2023-12-11,0P00000ODE.IR,1278.1151123046875
2023-12-12,0P00000ODE.IR,1266.8643798828125
2023-12-13,0P00000ODE.IR,1270.421875
2023-12-14,0P00000ODE.IR,1299.8953857421875
2023-12-15,0P00000ODE.IR,1311.251953125
2023-12-18,0P00000ODE.IR,1327.380615234375
2023-12-19,0P00000ODE.IR,1327.457275390625
2023-12-20,0P00000ODE.IR,1334.0335693359375
2023-12-21,0P00000ODE.IR,1335.424560546875
2023-12-22,0P00000ODE.IR,1348.65087890625
2023-12-27,0P00000ODE.IR,1351.7139892578125
2023-12-28,0P00000ODE.IR,1352.6519775390625
2023-12-29,0P00000ODE.IR,1358.7916259765625
2024-01-02,0P00000ODE.IR,1358.7916259765625
2024-01-08,0P00000ODE.IR,1345.77734375
2024-01-09,0P00000ODE.IR,1332.295654296875
2024-01-10,0P00000ODE.IR,1337.8280029296875
2024-01-11,0P00000ODE.IR,1323.365234375
2024-01-12,0P00000ODE.IR,1346.3157958984375
2024-01-15,0P00000ODE.IR,1327.0203857421875
2024-01-16,0P00000ODE.IR,1346.34423828125
2024-01-17,0P00000ODE.IR,1334.35205078125
2024-01-18,0P00000ODE.IR,1348.9210205078125
2024-01-19,0P00000ODE.IR,1348.3311767578125
2024-01-22,0P00000ODE.IR,1358.14501953125
2024-01-23,0P00000ODE.IR,1361.3018798828125
2024-01-24,0P00000ODE.IR,1371.5452880859375
2024-01-25,0P00000ODE.IR,1371.5452880859375
2024-01-26,0P00000ODE.IR,1385.26611328125
2024-01-29,0P00000ODE.IR,1374.639892578125
2024-01-30,0P00000ODE.IR,1357.583251953125
2024-01-31,0P00000ODE.IR,1355.26171875
2024-02-01,0P00000ODE.IR,1346.0167236328125
2024-02-02,0P00000ODE.IR,1340.8865966796875
2024-02-05,0P00000ODE.IR,1331.0548095703125
2024-02-06,0P00000ODE.IR,1338.7379150390625
2024-02-07,0P00000ODE.IR,1332.338623046875
2024-02-08,0P00000ODE.IR,1354.238525390625
2024-02-09,0P00000ODE.IR,1353.51513671875
2024-02-12,0P00000ODE.IR,1367.1094970703125
2024-02-13,0P00000ODE.IR,1357.000244140625
2024-02-14,0P00000ODE.IR,1360.13134765625
2024-02-15,0P00000ODE.IR,1343.0513916015625
2024-02-16,0P00000ODE.IR,1363.9627685546875
2024-02-19,0P00000ODE.IR,1366.28955078125
2024-02-20,0P00000ODE.IR,1338.419189453125
2024-02-21,0P00000ODE.IR,1330.5589599609375
2024-02-22,0P00000ODE.IR,1332.5167236328125
2024-02-23,0P00000ODE.IR,1334.0596923828125
2024-02-26,0P00000ODE.IR,1338.03076171875
2024-02-27,0P00000ODE.IR,1334.3642578125
2024-02-28,0P00000ODE.IR,1342.0771484375
2024-02-29,0P00000ODE.IR,1348.8216552734375
2024-03-01,0P00000ODE.IR,1354.3531494140625
2024-03-04,0P00000ODE.IR,1342.3077392578125
2024-03-05,0P00000ODE.IR,1346.119873046875
2024-03-06,0P00000ODE.IR,1349.9337158203125
2024-03-07,0P00000ODE.IR,1353.4234619140625
2024-03-08,0P00000ODE.IR,1355.549072265625
2024-03-11,0P00000ODE.IR,1347.0098876953125
2024-03-12,0P00000ODE.IR,1358.376220703125
2024-03-13,0P00000ODE.IR,1358.4334716796875
2024-03-14,0P00000ODE.IR,1365.62158203125
2024-03-15,0P00000ODE.IR,1373.76025390625
2024-03-18,0P00000ODE.IR,1381.4981689453125
2024-03-19,0P00000ODE.IR,1386.2216796875
2024-03-20,0P00000ODE.IR,1375.7696533203125
2024-03-21,0P00000ODE.IR,1385.476806640625
2024-03-22,0P00000ODE.IR,1392.644775390625
2024-03-25,0P00000ODE.IR,1399.7923583984375
2024-03-26,0P00000ODE.IR,1407.0762939453125
2024-03-27,0P00000ODE.IR,1417.03759765625
2024-03-28,0P00000ODE.IR,1417.03759765625
2024-04-02,0P00000ODE.IR,1422.9287109375
2024-04-03,0P00000ODE.IR,1427.024658203125
2024-04-04,0P00000ODE.IR,1424.8602294921875
2024-04-05,0P00000ODE.IR,1419.3973388671875
2024-04-08,0P00000ODE.IR,1410.60791015625
2024-04-09,0P00000ODE.IR,1430.3270263671875
2024-04-10,0P00000ODE.IR,1423.1993408203125
2024-04-11,0P00000ODE.IR,1434.60546875
2024-04-12,0P00000ODE.IR,1447.2493896484375
2024-04-15,0P00000ODE.IR,1430.785888671875
2024-04-16,0P00000ODE.IR,1416.81591796875
2024-04-17,0P00000ODE.IR,1425.8740234375
2024-04-18,0P00000ODE.IR,1417.533203125
2024-04-19,0P00000ODE.IR,1416.4510498046875
2024-04-22,0P00000ODE.IR,1422.1793212890625
2024-04-23,0P00000ODE.IR,1440.4554443359375
2024-04-24,0P00000ODE.IR,1457.6883544921875
2024-04-25,0P00000ODE.IR,1443.216552734375
2024-04-26,0P00000ODE.IR,1459.52294921875
2024-04-29,0P00000ODE.IR,1465.6224365234375
2024-04-30,0P00000ODE.IR,1473.136474609375
2024-05-02,0P00000ODE.IR,1477.0023193359375
2024-05-03,0P00000ODE.IR,1481.1241455078125
2024-05-06,0P00000ODE.IR,1481.1241455078125
2024-05-07,0P00000ODE.IR,1505.993408203125
2024-05-08,0P00000ODE.IR,1520.61474609375
2024-05-10,0P00000ODE.IR,1534.8560791015625
2024-05-13,0P00000ODE.IR,1528.2467041015625
2024-05-14,0P00000ODE.IR,1533.6768798828125
2024-05-15,0P00000ODE.IR,1524.8131103515625
2024-05-16,0P00000ODE.IR,1533.978515625
2024-05-17,0P00000ODE.IR,1533.978515625
2024-05-21,0P00000ODE.IR,1549.275390625
2024-05-22,0P00000ODE.IR,1538.027587890625
2024-05-23,0P00000ODE.IR,1551.2691650390625
2024-05-24,0P00000ODE.IR,1554.8468017578125
2024-05-27,0P00000ODE.IR,1564.7696533203125
2024-05-28,0P00000ODE.IR,1572.87744140625
2024-05-29,0P00000ODE.IR,1567.18310546875
2024-05-30,0P00000ODE.IR,1581.7113037109375
2024-05-31,0P00000ODE.IR,1592.8544921875
2024-06-03,0P00000ODE.IR,1579.4805908203125
2024-06-04,0P00000ODE.IR,1543.400146484375
2024-06-05,0P00000ODE.IR,1561.003173828125
2024-06-06,0P00000ODE.IR,1555.644287109375
2024-06-07,0P00000ODE.IR,1556.22705078125
2024-06-10,0P00000ODE.IR,1563.8016357421875
2024-06-11,0P00000ODE.IR,1547.0341796875
2024-06-12,0P00000ODE.IR,1560.7099609375
2024-06-13,0P00000ODE.IR,1553.4169921875
2024-06-14,0P00000ODE.IR,1535.388427734375
2024-06-17,0P00000ODE.IR,1529.493408203125
2024-06-18,0P00000ODE.IR,1530.177978515625
2024-06-19,0P00000ODE.IR,1530.0291748046875
2024-06-20,0P00000ODE.IR,1530.432373046875
2024-06-21,0P00000ODE.IR,1524.616943359375
2024-06-24,0P00000ODE.IR,1523.7557373046875
2024-06-25,0P00000ODE.IR,1518.4859619140625
2024-06-26,0P00000ODE.IR,1528.4801025390625
2024-06-27,0P00000ODE.IR,1550.40283203125
2024-06-28,0P00000ODE.IR,1566.7158203125
2024-07-01,0P00000ODE.IR,1563.2940673828125
2024-07-02,0P00000ODE.IR,1566.798095703125
2024-07-03,0P00000ODE.IR,1572.9022216796875
2024-07-04,0P00000ODE.IR,1558.008056640625
2024-07-05,0P00000ODE.IR,1553.8580322265625
2024-07-08,0P00000ODE.IR,1555.3299560546875
2024-07-09,0P00000ODE.IR,1552.1756591796875
