Date,Ticker,Name,Price,Currency
2026-03-23,EUNL.DE,iShares Core MSCI World,109.92,EUR
2026-03-23,IS3N.DE,iShares EM IMI,40.57,EUR
2026-03-23,IUSN.DE,iShares MSCI World Small Cap,7.979,EUR
2026-03-23,VWCE.DE,Vanguard FTSE All-World,144.48,EUR
