Date,0P00000ODE.IR,0P00000SFV.F,0P0000J24W.ST,0P000134K7.IR,0P000134K9.F,0P00018CRD.IR,0P0001K6NB.IR,0P0001K6NJ.IR,0P0001KO97.IR,0P0001KRXX.CO,0P0001OPBE.IR,0P0001OPBL.IR,0P0001OPC5.IR,0P0001RFXW.IR,DKKNOK=X,EURNOK=X,NO10Y,NOK=X,SEKNOK=X,^990100-USD-STRD
2016-01-01,,,,,,,,,,,,,,,1.2872999906539917,9.618439674377441,,8.858480453491211,1.0426000356674194,
2016-01-02,,,,,,,,,,,,,,,1.2872999906539917,9.618439674377441,,8.858480453491211,1.0426000356674194,
2016-01-03,,,,,,,,,,,,,,,1.2872999906539917,9.618439674377441,,8.858480453491211,1.0426000356674194,
2016-01-04,,,,,,,,,,,,,,,1.2825000286102295,9.580450057983398,,8.82863998413086,1.0448999404907227,1630.9000244140625
2016-01-05,,,,,,,,,,,,,,,1.2883000373840332,9.610719680786133,,8.878450393676758,1.041599988937378,1630.5999755859375
2016-01-06,,,,,,,,,,,,,,,1.283400058746338,9.573349952697754,,8.905850410461426,1.0364999771118164,1610.199951171875
2016-01-07,,,,,,,,,,,,,,,1.2897000312805176,9.639650344848633,,8.946049690246582,1.041200041770935,1576.300048828125
2016-01-08,,,,,,,,,,,,,,,1.301300048828125,9.706950187683105,,8.88578987121582,1.049299955368042,1561.5
2016-01-09,,,,,,,,,,,,,,,1.301300048828125,9.706950187683105,,8.88578987121582,1.049299955368042,1561.5
2016-01-10,,,,,,,,,,,,,,,1.301300048828125,9.706950187683105,,8.88578987121582,1.049299955368042,1561.5
2016-01-11,,,,,,,,,,,,,,,1.2989000082015991,9.704139709472656,,8.871060371398926,1.0441999435424805,1557.5999755859375
2016-01-12,,,,,,,,,,,,,,,1.2984999418258667,9.705499649047852,,8.940299987792969,1.0467000007629395,1561.699951171875
2016-01-13,,,,,,,,,,,,,,,1.2874000072479248,9.62559986114502,,8.874990463256836,1.0398999452590942,1544.300048828125
2016-01-14,,,,,,,,,,,,,,,1.2841999530792236,9.60219955444336,,8.820059776306152,1.0348999500274658,1549.0999755859375
2016-01-15,,,,,,,,,,,,,,,1.2732000350952148,9.519599914550781,,8.76278018951416,1.0245000123977661,1521.0
2016-01-16,,,,,,,,,,,,,,,1.2732000350952148,9.519599914550781,,8.76278018951416,1.0245000123977661,1521.0
2016-01-17,,,,,,,,,,,,,,,1.2732000350952148,9.519599914550781,,8.76278018951416,1.0245000123977661,1521.0
2016-01-18,,,,,,,,,,,,,,,1.292799949645996,9.66189956665039,,8.849349975585938,1.0313999652862549,1514.0999755859375
2016-01-19,,,,,,,,,,,,,,,1.2962000370025635,9.685440063476562,,8.893969535827637,1.0338000059127808,1520.5
2016-01-20,,,,,,,,,,,,,,,1.2858999967575073,9.611499786376953,,8.810580253601074,1.0324000120162964,1491.699951171875
2016-01-21,,,,,,,,,,,,,,,1.2908999919891357,9.654999732971191,,8.877479553222656,1.0318700075149536,1497.9000244140625
2016-01-22,,,,,,,,,,,,,,,1.2761000394821167,9.534799575805664,,8.7808198928833,1.0253000259399414,1536.800048828125
2016-01-23,,,,,,,,,,,,,,,1.2761000394821167,9.534799575805664,,8.7808198928833,1.0253000259399414,1536.800048828125
2016-01-24,,,,,,,,,,,,,,,1.2761000394821167,9.534799575805664,,8.7808198928833,1.0253000259399414,1536.800048828125
2016-01-25,,,,,,,,,,,,,,,1.2618000507354736,9.431400299072266,,8.734600067138672,1.0175199508666992,1521.199951171875
2016-01-26,,,,,,,,,,,,,,,1.271399974822998,9.501480102539062,,8.757699966430664,1.020400047302246,1535.800048828125
2016-01-27,,,,,,,,,,,,,,,1.267300009727478,9.455450057983398,,8.705100059509277,1.0180399417877197,1531.4000244140625
2016-01-28,,,,,,,,,,,,,,,1.2625000476837158,9.436100006103516,,8.65287971496582,1.0152000188827515,1532.699951171875
2016-01-29,,,,,,,,,,,,,,,1.2598999738693237,9.41919994354248,,8.614649772644043,1.0121999979019165,1562.199951171875
2016-01-30,,,,,,,,,,,,,,,1.2598999738693237,9.41919994354248,,8.614649772644043,1.0121999979019165,1562.199951171875
2016-01-31,,,,,,,,,,,,,,,1.2598999738693237,9.41919994354248,,8.614649772644043,1.0121999979019165,1562.199951171875
2016-02-01,,,,,,,,,,,,,,,1.2580000162124634,9.398249626159668,,8.685449600219727,1.0109000205993652,1566.5999755859375
2016-02-02,,,,,,,,,,,,,,,1.2653000354766846,9.457420349121094,,8.680450439453125,1.0181000232696533,1538.9000244140625
2016-02-03,,,,,,,,,,,,,,,1.2730000019073486,9.522000312805176,,8.719679832458496,1.0190600156784058,1540.9000244140625
2016-02-04,,,,,,,,,,,,,,,1.2711000442504883,9.504159927368164,,8.563610076904297,1.0133999586105347,1548.9000244140625
